Modelo,Umbral,Accuracy,Precision,Recall,F1,ROC-AUC,TP,FP,FN,TN,Training Time (s),Inference Time (s),Mejor F1 promedio (CV Realista)
XGBoost,0.7,0.733,0.7772,0.2649,0.3951,0.6759,3045,873,8451,22556,1504.14,0.0594,0.5742
XGBoost,0.6,0.7373,0.7186,0.3319,0.4541,0.6759,3816,1494,7680,21935,1504.14,0.0594,0.5742
XGBoost,0.5,0.4613,0.3714,0.9188,0.5289,0.6759,10562,17880,934,5549,1504.14,0.0594,0.5742
XGBoost,0.4,0.4451,0.3682,0.9582,0.532,0.6759,11016,18899,480,4530,1504.14,0.0594,0.5742
XGBoost,0.3,0.4109,0.3563,0.9796,0.5226,0.6759,11262,20342,234,3087,1504.14,0.0594,0.5742
XGBoost,0.2,0.3839,0.3475,0.993,0.5148,0.6759,11415,21435,81,1994,1504.14,0.0594,0.5742
XGBoost,0.1,0.3508,0.3363,0.9989,0.5032,0.6759,11483,22661,13,768,1504.14,0.0594,0.5742
GradientBoosting,0.7,0.739,0.7518,0.3091,0.438,0.6711,3553,1173,7943,22256,2752.09,0.0399,0.5697
GradientBoosting,0.6,0.7394,0.7292,0.3316,0.4559,0.6711,3812,1416,7684,22013,2752.09,0.0399,0.5697
GradientBoosting,0.5,0.4665,0.3732,0.914,0.53,0.6711,10507,17645,989,5784,2752.09,0.0399,0.5697
GradientBoosting,0.4,0.4482,0.3695,0.9576,0.5332,0.6711,11008,18783,488,4646,2752.09,0.0399,0.5697
GradientBoosting,0.3,0.4323,0.3646,0.9751,0.5307,0.6711,11210,19540,286,3889,2752.09,0.0399,0.5697
GradientBoosting,0.2,0.3828,0.3472,0.9937,0.5146,0.6711,11424,21482,72,1947,2752.09,0.0399,0.5697
GradientBoosting,0.1,0.3405,0.3329,0.9999,0.4995,0.6711,11495,23031,1,398,2752.09,0.0399,0.5697
RandomForest,0.7,0.6747,0.6611,0.0243,0.0468,0.6464,279,143,11217,23286,5075.97,0.0849,0.5741
RandomForest,0.6,0.7347,0.7502,0.2911,0.4194,0.6464,3346,1114,8150,22315,5075.97,0.0849,0.5741
RandomForest,0.5,0.4559,0.3701,0.9302,0.5295,0.6464,10694,18202,802,5227,5075.97,0.0849,0.5741
RandomForest,0.4,0.4175,0.3587,0.9773,0.5248,0.6464,11235,20084,261,3345,5075.97,0.0849,0.5741
RandomForest,0.3,0.3534,0.3371,0.998,0.504,0.6464,11473,22561,23,868,5075.97,0.0849,0.5741
RandomForest,0.2,0.3328,0.3304,1.0,0.4967,0.6464,11496,23302,0,127,5075.97,0.0849,0.5741
RandomForest,0.1,0.3292,0.3292,1.0,0.4953,0.6464,11496,23427,0,2,5075.97,0.0849,0.5741
DecisionTree,0.7,0.7344,0.7134,0.323,0.4446,0.6689,3713,1492,7783,21937,1093.23,0.0058,0.5556
DecisionTree,0.6,0.7354,0.7015,0.3416,0.4595,0.6689,3927,1671,7569,21758,1093.23,0.0058,0.5556
DecisionTree,0.5,0.7351,0.69,0.3543,0.4682,0.6689,4073,1830,7423,21599,1093.23,0.0058,0.5556
DecisionTree,0.4,0.4483,0.3698,0.9596,0.5338,0.6689,11031,18802,465,4627,1093.23,0.0058,0.5556
DecisionTree,0.3,0.4474,0.3697,0.9632,0.5343,0.6689,11073,18876,423,4553,1093.23,0.0058,0.5556
DecisionTree,0.2,0.4269,0.3621,0.9727,0.5277,0.6689,11182,19702,314,3727,1093.23,0.0058,0.5556
DecisionTree,0.1,0.4129,0.3575,0.9835,0.5244,0.6689,11306,20316,190,3113,1093.23,0.0058,0.5556
LogisticRegression,0.7,0.6835,0.6434,0.0865,0.1524,0.6408,994,551,10502,22878,100.01,0.008,0.557
LogisticRegression,0.6,0.7308,0.7034,0.3152,0.4353,0.6408,3623,1528,7873,21901,100.01,0.008,0.557
LogisticRegression,0.5,0.5301,0.3785,0.6659,0.4826,0.6408,7655,12571,3841,10858,100.01,0.008,0.557
LogisticRegression,0.4,0.3966,0.3453,0.93,0.5036,0.6408,10691,20269,805,3160,100.01,0.008,0.557
LogisticRegression,0.3,0.3682,0.3397,0.9741,0.5037,0.6408,11198,21768,298,1661,100.01,0.008,0.557
LogisticRegression,0.2,0.3606,0.3379,0.9825,0.5029,0.6408,11295,22131,201,1298,100.01,0.008,0.557
LogisticRegression,0.1,0.3435,0.333,0.9911,0.4985,0.6408,11394,22827,102,602,100.01,0.008,0.557
